Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid
0,-5.163020611,1,-0.639904022,1,-8.35697937,1,-0.004923024,1,0.000676242,1,0.004903052,1,0.07503096,1,-0.551190078,1,0.245590732,1
0.004001792,-5.161633492,1,-0.651655614,1,-8.33769989,1,-0.004556213,1,-0.002794138,1,0.006298022,1,0.075003415,1,-0.551204324,1,0.24560912,1
0.007999744,-5.167662144,1,-0.630171537,1,-8.351759911,1,-0.003191891,1,0.000536655,1,0.000739249,1,0.07497941,1,-0.551212728,1,0.245632723,1
0.011999232,-5.133232594,1,-0.629237354,1,-8.330541611,1,-0.004474191,1,0.000982862,1,0.007324406,1,0.074955784,1,-0.551220059,1,0.245654523,1
0.016001023,-5.147695065,1,-0.659185886,1,-8.331104279,1,-0.004792404,1,-0.006255801,1,0.000327981,1,0.074927159,1,-0.551230252,1,0.245669574,1
0.01999872,-5.155147076,1,-0.65405196,1,-8.320311546,1,-0.004332552,1,-0.00233588,1,0.004860707,1,0.07490246,1,-0.551244617,1,0.245692298,1
0.023998208,-5.166935444,1,-0.654589236,1,-8.359530449,1,-0.006403774,1,-4.84E-05,1,0.001787409,1,0.074878454,1,-0.551251948,1,0.245709866,1
0.028000001,-5.154197216,1,-0.645986736,1,-8.329112053,1,-0.005283439,1,-0.002963015,1,0.005939881,1,0.074854165,1,-0.55126369,1,0.245724857,1
0.031997953,-5.156777382,1,-0.659922361,1,-8.330429077,1,-0.0042731,1,0.00096618,1,0.00705886,1,0.074826173,1,-0.551268101,1,0.245744154,1
0.035997439,-5.149774075,1,-0.695579767,1,-8.350253105,1,-0.006455195,1,-0.004019119,1,0.003642958,1,0.074797623,1,-0.551277637,1,0.245771319,1
