Time,inertial-6253.76535:scaledAccelX,inertial-6253.76535:scaledAccelY,inertial-6253.76535:scaledAccelZ,inertial-6253.76535:scaledGyroX,inertial-6253.76535:scaledGyroY,inertial-6253.76535:scaledGyroZ,inertial-6253.76535:scaledMagX,inertial-6253.76535:scaledMagY,inertial-6253.76535:scaledMagZ,inertial-6253.76535:roll,inertial-6253.76535:pitch,inertial-6253.76535:yaw
0,-0.443723947,-0.116411924,-0.891733408,-0.053784981,-0.049935095,0.033903897,-0.027932169,0.1995654404163361,0.3873901069164276,0.1051238626241684,-0.470504433,-2.504630089
0.004996864,-0.444582134,-0.103087127,-0.893482804,-0.056271423,-0.047633454,0.033488747,-0.027758837,0.1996546238660812,0.3884322941303253,0.104775034,-0.470731586,-2.504452944
0.009994496,-0.445574015,-0.085820094,-0.8920241,-0.055632308,-0.044922866,0.030892728,-0.027625469,0.1997232586145401,0.389234185,0.1044042631983757,-0.470951766,-2.504252195
0.014993152,-0.447472334,-0.0716158,-0.889499366,-0.046957523,-0.04192508,0.022995349,-0.027581248,0.1997460126876831,0.3895000815391541,0.1040816977620125,-0.471162081,-2.504080772
0.019992832,-0.449979186,-0.06206109,-0.89069432,-0.03093789,-0.041937634,0.016437227,-0.027547222,0.1997635215520859,0.3897046744823456,0.1038451567292213,-0.471373528,-2.503913403
0.024993535,-0.450344115,-0.065601021,-0.891469777,-0.0163213,-0.045893889,0.007908869,-0.027435219,0.1995127499103546,0.3896632194519043,0.1037137359380722,-0.471593291,-2.503815413
0.02999552,-0.453419775,-0.073634699,-0.887004554,-0.003930849,-0.047497734,0.002408043,-0.027349042,0.1993197947740555,0.3896313309669495,0.1036842316389084,-0.471841991,-2.503778219
0.034992639,-0.456317812,-0.078820065,-0.882985473,0.008554447,-0.045802485,-0.002296793,-0.027320467,0.1992558091878891,0.3896207809448242,0.1037398874759674,-0.472074509,-2.503789902
0.039990529,-0.455717266,-0.079501979,-0.882473648,0.017293662,-0.043207701,-0.00978075,-0.02729848,0.1992065757513046,0.3896126449108124,0.1038452535867691,-0.47228536,-2.503831625
0.044989184,-0.459611088,-0.078890435,-0.881241918,0.027061723,-0.040635381,-0.019137563,-0.027152585,0.1990740597248077,0.3897963762283325,0.1040219590067863,-0.472490489,-2.503937244
0.049988866,-0.46354717,-0.078963533,-0.879609704,0.033199489,-0.034028314,-0.028369265,-0.026900178,0.1988546103239059,0.3901262283325195,0.1042563021183014,-0.472660422,-2.504099846
0.054989569,-0.461010724,-0.083827771,-0.875106394,0.040197052,-0.025634965,-0.03235513,-0.026816485,0.1987818479537964,0.3902356028556824,0.1045418232679367,-0.472781569,-2.504287481
0.059991553,-0.460618019,-0.101630785,-0.875910044,0.044208366,-0.015066676,-0.031206628,-0.026752088,0.1987258493900299,0.3903197646141052,0.1048784926533699,-0.472852826,-2.504508972
0.064988419,-0.461154848,-0.128264159,-0.873467326,0.035094861,-0.006387057,-0.027354097,-0.026730735,0.1987072825431824,0.3903476595878601,0.1051996648311615,-0.472873449,-2.504767656
0.069986045,-0.464963108,-0.148897722,-0.87005204,0.02068913,0.006974161,-0.019594489,-0.026590519,0.1990282982587814,0.3904361724853516,0.1054564416408539,-0.472841352,-2.505035162
0.074984707,-0.468127042,-0.152354166,-0.869893014,0.004403075,0.016844137,-0.010662924,-0.026544025,0.1991347372531891,0.3904654979705811,0.1055932492017746,-0.472775996,-2.50523138
0.079984382,-0.467743665,-0.146414235,-0.871667206,-0.012160477,0.030155875,0.001924702,-0.026508253,0.1992166340351105,0.3904880583286285,0.1055988296866417,-0.47264269,-2.505317688
0.084985085,-0.46732834,-0.138222307,-0.873513699,-0.024632758,0.04067621,0.008318433,-0.026496392,0.1992437839508057,0.3904955685138702,0.1055116206407547,-0.47246027,-2.505362272
0.089986563,-0.469575047,-0.131265923,-0.875452161,-0.036673419,0.051073156,0.014119781,-0.026533356,0.1991611123085022,0.3901726901531219,0.1053282245993614,-0.472239882,-2.505337954
0.094989315,-0.467784077,-0.12685658,-0.8776896,-0.043213107,0.061631765,0.017939251,-0.026557017,0.1991080790758133,0.3899843394756317,0.1051091328263283,-0.471960366,-2.505286455
0.099986941,-0.465684146,-0.122259304,-0.881722033,-0.049996566,0.069524564,0.02082075,-0.026575224,0.1990672647953033,0.3898394107818604,0.1048394963145256,-0.471630454,-2.505196333
0.104985602,-0.466038167,-0.119662069,-0.885056078,-0.055003535,0.074709296,0.024479909,-0.026581261,0.1990537345409393,0.38979134,0.104524203,-0.47128582,-2.505072355
0.109985277,-0.457441598,-0.116915807,-0.886265218,-0.060016848,0.081043951,0.025591452,-0.026695285,0.1989883929491043,0.3898197114467621,0.1041797995567322,-0.470886528,-2.504927635
0.114985988,-0.455848128,-0.110315695,-0.888057232,-0.061676826,0.084392756,0.02404595,-0.026843388,0.1989113539457321,0.3898950219154358,0.1038129255175591,-0.470478415,-2.504764557
0.119987965,-0.450505465,-0.10604348,-0.888199031,-0.059581615,0.088859916,0.02483446,-0.026957342,0.1988520622253418,0.3899529576301575,0.1034437641501427,-0.470047295,-2.504580736
0.124985091,-0.444534391,-0.104468703,-0.890801609,-0.0596021,0.091878906,0.021858159,-0.026995128,0.1988324075937271,0.3899721801280975,0.1030899658799171,-0.469581008,-2.504409075
0.129982725,-0.439717799,-0.106642783,-0.89543575,-0.058562264,0.09114264,0.017998291,-0.0270242,0.1988172829151154,0.3899869620800018,0.1027606204152107,-0.469106436,-2.504259586
