strideIndex,timestamp,gcpX,gcpY
4.900000000000000000e+01,2.744995772999999861e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.980000000000000000e+02,4.489957332499999509e+00,1.003086992998305949e+00,3.482074780381037848e-02
6.980000000000000000e+02,5.989950418500000318e+00,1.994327820553226438e+00,1.175650635495837926e-01
1.022000000000000000e+03,7.609904051000000003e+00,2.748782444036614425e+00,3.922398186774265216e-01
1.301000000000000000e+03,9.004942179000000380e+00,2.902748779708951954e+00,1.300329774287350082e+00
1.592000000000000000e+03,1.045997333999999945e+01,3.541630973623318912e+00,2.063655748101398402e+00
1.873000000000000000e+03,1.186502599749999831e+01,4.551417840613797949e+00,2.034820296768840020e+00
2.160000000000000000e+03,1.330001067999999975e+01,5.096739289465572753e+00,1.216433152794668349e+00
2.438000000000000000e+03,1.468997144999999804e+01,5.642991408263545061e+00,6.066703934294177536e-01
2.722000000000000000e+03,1.610994147999999981e+01,6.710286715166536631e+00,7.268274900273825612e-01
3.000000000000000000e+03,1.749991797999999932e+01,7.819789484335349705e+00,8.561240685077652346e-01
3.254000000000000000e+03,1.876990890500000120e+01,8.909927023629567344e+00,1.045528781811181807e+00
3.496000000000000000e+03,1.997987747000000169e+01,1.007871873718237588e+01,1.142718957910863642e+00
3.772000000000000000e+03,2.135989570999999998e+01,1.127432368324428857e+01,1.309637539717350307e+00
3.989000000000000000e+03,2.244486808999999994e+01,1.234418328614458105e+01,1.483492163130227359e+00
4.292000000000000000e+03,2.395984078000000039e+01,1.280646296346386848e+01,2.349334238763869376e+00
4.569000000000000000e+03,2.534483432499999722e+01,1.333938824386601141e+01,3.297262846575817807e+00
4.843000000000000000e+03,2.671483325750000049e+01,1.432409377530575512e+01,3.325828846505326730e+00
5.041000000000000000e+03,2.770486116749999894e+01,1.484750366171250135e+01,2.646818470434624260e+00
5.355000000000000000e+03,2.927485704499999741e+01,1.522020231183024919e+01,1.773282714898305246e+00
5.603000000000000000e+03,3.051489401250000100e+01,1.635080669868874637e+01,2.002842555498361765e+00
5.840000000000000000e+03,3.169987297000000126e+01,1.752971294469682917e+01,2.149607889017977058e+00
6.076000000000000000e+03,3.287986373999999756e+01,1.876419073807160487e+01,2.136896568687344455e+00
6.322000000000000000e+03,3.410986519000000072e+01,1.995622992036357246e+01,2.408142928811673578e+00
6.558000000000000000e+03,3.528982352999999961e+01,2.124364865813800662e+01,2.582148657531394331e+00
6.778000000000000000e+03,3.638965987999999641e+01,2.222725471486809923e+01,2.711311830161544645e+00
7.032000000000000000e+03,3.765912628000000240e+01,2.234814884327056816e+01,3.759441883980156440e+00
7.274000000000000000e+03,3.886879730499999397e+01,2.310600967144413787e+01,4.530122080378162330e+00
7.522000000000000000e+03,4.010849380499999484e+01,2.421891336253564830e+01,4.448296813162567531e+00
7.769000000000000000e+03,4.134331131000000426e+01,2.460670799471262882e+01,3.533274778862454113e+00
7.999000000000000000e+03,4.249316788000000145e+01,2.525285406613608430e+01,3.063534154279022204e+00
8.225000000000000000e+03,4.362304496749999316e+01,2.640087384569372020e+01,3.274049203015297671e+00
8.463000000000000000e+03,4.481298065000000008e+01,2.765868813303122664e+01,3.426339119193750893e+00
8.687000000000000000e+03,4.593290615499999774e+01,2.886154506785362983e+01,3.608237976665850333e+00
8.929000000000000000e+03,4.714284992500000726e+01,3.006848421833081275e+01,3.723141793162158208e+00
9.154000000000000000e+03,4.826784134000000392e+01,3.125918326744218945e+01,3.872342243715301002e+00
9.420000000000000000e+03,4.959778595000000223e+01,3.215631334692827181e+01,4.091765625517012062e+00
9.633000000000000000e+03,5.066278458000000029e+01,3.204919091570692302e+01,5.001485244261835383e+00
9.922000000000000000e+03,5.210774612499999847e+01,3.279657661967419813e+01,5.725568533328314835e+00
