strideIndex,timestamp,gcpX,gcpY
3.430000000000000000e+02,1.715007811500000257e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.020000000000000000e+02,2.509986519999999999e+00,7.545268163028817643e-01,-4.743715294826792578e-02
6.880000000000000000e+02,3.439992428000000046e+00,2.709680764894855987e+00,-2.284538298186905014e-01
8.640000000000000000e+02,4.320024489999999773e+00,4.638260034411513466e+00,1.361315875843260859e-03
1.028000000000000000e+03,5.140015124999999685e+00,6.613186792060024466e+00,-5.729733443388624892e-01
1.192000000000000000e+03,5.960018157999999566e+00,8.698407298816363209e+00,-8.873305268603279838e-01
1.357000000000000000e+03,6.785039901500000248e+00,1.097403311033089324e+01,-9.573031355643339957e-01
1.531000000000000000e+03,7.655053138750000485e+00,1.339808506109131159e+01,-7.378717339496179140e-01
1.689000000000000000e+03,8.445044517499999515e+00,1.570058857357106774e+01,-1.041270110705961649e+00
1.849000000000000000e+03,9.245028018750000243e+00,1.811479682933591562e+01,-1.525850855058084932e+00
2.017000000000000000e+03,1.008503746999999962e+01,2.072239714640793906e+01,-1.650977136893241104e+00
2.187000000000000000e+03,1.093502045000000145e+01,2.331956554673356052e+01,-1.349352700963334373e+00
2.345000000000000000e+03,1.172499275000000019e+01,2.571973213757211596e+01,-1.718682277659344226e+00
2.507000000000000000e+03,1.253495741250000073e+01,2.814806611770879741e+01,-2.100996390547578585e+00
2.671000000000000000e+03,1.335497856500000147e+01,3.072409019499718497e+01,-2.218915656278532822e+00
2.844000000000000000e+03,1.421995448999999923e+01,3.328994992773906603e+01,-2.050440637674165956e+00
3.010000000000000000e+03,1.504993486500000088e+01,3.553825855941180833e+01,-2.441291372285020689e+00
3.184000000000000000e+03,1.591994189999999953e+01,3.761006641445608523e+01,-2.559245650617034240e+00
3.369000000000000000e+03,1.684494114249999797e+01,3.864082720105433566e+01,-3.881908192920008105e+00
3.535000000000000000e+03,1.767491817500000195e+01,3.737604577161266661e+01,-4.815448730732641458e+00
3.711000000000000000e+03,1.855490112000000025e+01,3.540006411902783867e+01,-4.472598167588714091e+00
3.884000000000000000e+03,1.941993141000000023e+01,3.315913018526142508e+01,-4.437114305140684500e+00
4.054000000000000000e+03,2.026991844000000143e+01,3.099279829634621919e+01,-3.732192219326211813e+00
4.215000000000000000e+03,2.107489919249999843e+01,2.877950976754367218e+01,-3.846987202975643338e+00
4.380000000000000000e+03,2.189989661999999981e+01,2.637235735684303606e+01,-3.924248264695683108e+00
4.542000000000000000e+03,2.270992470000000196e+01,2.389313143440374887e+01,-3.754917743214553738e+00
4.706000000000000000e+03,2.352990150500000155e+01,2.133075368532513849e+01,-3.656992919871203451e+00
4.866000000000000000e+03,2.432988452499999710e+01,1.873495412809351635e+01,-3.592831726957405269e+00
5.022000000000000000e+03,2.510988712500000020e+01,1.616582690653723020e+01,-3.318013024066815753e+00
5.179000000000000000e+03,2.589489650499999840e+01,1.352062710992919037e+01,-3.128123487691599092e+00
5.339000000000000000e+03,2.669487715249999837e+01,1.086497199005138725e+01,-3.059801571245887253e+00
5.495000000000000000e+03,2.747486448500000478e+01,8.283615893134863128e+00,-2.499447485946350689e+00
5.657000000000000000e+03,2.828487396000000231e+01,5.748921232507871792e+00,-2.608941674783126885e+00
5.824000000000000000e+03,2.911988068000000141e+01,3.241373399033831593e+00,-2.457690681928029974e+00
6.001000000000000000e+03,3.000485038749999944e+01,1.055556571809691313e+00,-2.220543474852354926e+00
6.399000000000000000e+03,3.199486494250000135e+01,-5.099940827151050460e-02,-9.788197282216759554e-01
