strideIndex,timestamp,gcpX,gcpY
2.750000000000000000e+02,1.373988748000000149e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.020000000000000000e+02,2.507998466000000093e+00,7.044229848302637764e-01,-1.684169185171782712e-01
7.510000000000000000e+02,3.756004571999999708e+00,1.977429810193930049e+00,-6.872527524545811728e-01
9.800000000000000000e+02,4.902063846999999974e+00,3.285299258065364381e+00,-8.178494879592259625e-01
1.212000000000000000e+03,6.060025692000000852e+00,4.710330792834084512e+00,-1.410634545897348158e+00
1.445000000000000000e+03,7.223978519000000098e+00,6.061270289957779944e+00,-1.897587803521917138e+00
1.671000000000000000e+03,8.352189063999999163e+00,7.421228897616195752e+00,-2.269960715339875090e+00
1.899000000000000000e+03,9.492094994000000341e+00,8.753502580185399395e+00,-2.672175626467610421e+00
2.124000000000000000e+03,1.061999892999999950e+01,1.017718499580002778e+01,-3.034736489592268605e+00
2.353000000000000000e+03,1.177204513999999946e+01,1.155332164311054299e+01,-3.439409107802314125e+00
2.578000000000000000e+03,1.288800334999999997e+01,1.295126575578549577e+01,-3.747430629513774036e+00
2.806000000000000000e+03,1.402823543999999956e+01,1.430954455494275557e+01,-4.160769115212729297e+00
3.030000000000000000e+03,1.514999390000000190e+01,1.561971012795101821e+01,-4.494923527579133271e+00
3.263000000000000000e+03,1.631395721000000165e+01,1.700116429126274653e+01,-4.802659444671506073e+00
3.491000000000000000e+03,1.745391846000000058e+01,1.839229520374480487e+01,-4.873812690112943713e+00
3.706000000000000000e+03,1.852790450999999905e+01,1.966648578091950128e+01,-5.226264634410604515e+00
3.942000000000000000e+03,1.970993613999999994e+01,2.096036059112096339e+01,-5.898767404312806661e+00
4.169000000000000000e+03,2.084393310999999827e+01,2.216018481421568964e+01,-6.497354769427651000e+00
4.390000000000000000e+03,2.194805717999999928e+01,2.334560099828494728e+01,-7.045480184407363566e+00
4.625000000000000000e+03,2.312420081999999866e+01,2.467414301850056546e+01,-7.369037135377980441e+00
4.856000000000000000e+03,2.427622222999999835e+01,2.605855093424996127e+01,-7.492226919087568326e+00
5.067000000000000000e+03,2.533193207000000058e+01,2.739348900190969971e+01,-7.614559888939899324e+00
5.322000000000000000e+03,2.661002922000000126e+01,2.869036641200484183e+01,-7.959642463383911348e+00
5.557000000000000000e+03,2.779214859000000004e+01,2.985615851002226506e+01,-8.646421746851418177e+00
5.773000000000000000e+03,2.886605454000000037e+01,3.109099192066235418e+01,-8.960350796107734439e+00
6.018000000000000000e+03,3.009004021000000151e+01,3.247232958675657954e+01,-9.260807535471936802e+00
6.252000000000000000e+03,3.126002884000000037e+01,3.311004874010522769e+01,-1.043741124167563683e+01
6.483000000000000000e+03,3.241201401000000004e+01,3.224872325898574132e+01,-1.140102860119875494e+01
6.727000000000000000e+03,3.363604735999999917e+01,3.086194406555146585e+01,-1.123267935511259275e+01
6.950000000000000000e+03,3.474600982999999843e+01,2.954701716887226937e+01,-1.131348316931472198e+01
7.194000000000000000e+03,3.596984863000000132e+01,2.876632633787952642e+01,-1.228528913060733530e+01
7.423000000000000000e+03,3.711592865000000074e+01,2.917479837021751621e+01,-1.353287704285948045e+01
7.660000000000000000e+03,3.829800414999999703e+01,3.039019935590610189e+01,-1.410044240824679918e+01
7.896000000000000000e+03,3.947988510000000417e+01,3.176265319965381551e+01,-1.454968448862453911e+01
8.130000000000000000e+03,4.064992141999999831e+01,3.271307635111733703e+01,-1.555656721921541674e+01
8.366000000000000000e+03,4.183203125000000000e+01,3.347430853140988916e+01,-1.671663211726511378e+01
8.601000000000000000e+03,4.300184250000000219e+01,3.338892011707260110e+01,-1.814535770977648355e+01
8.843000000000000000e+03,4.421409987999999913e+01,3.209780745488229314e+01,-1.850383378084938357e+01
9.077000000000000000e+03,4.538404464999999988e+01,3.115055978477683851e+01,-1.752368896936498643e+01
9.304000000000000000e+03,4.651808928999999893e+01,3.069117860440438506e+01,-1.628831820270438158e+01
9.540000000000000000e+03,4.770008849999999967e+01,2.958872325208400156e+01,-1.578213918680176242e+01
9.774000000000000000e+03,4.886985015999999860e+01,2.832623875823759008e+01,-1.597228098335734003e+01
1.001000000000000000e+04,5.004595946999999967e+01,2.708370907379437043e+01,-1.655088359593131742e+01
1.024800000000000000e+04,5.124612044999999938e+01,2.566423183485946069e+01,-1.651974891838814585e+01
1.047900000000000000e+04,5.239800644000000318e+01,2.466847259949645377e+01,-1.558145656246207977e+01
1.070700000000000000e+04,5.353194046000000128e+01,2.395495905763764455e+01,-1.446733653949144305e+01
1.094600000000000000e+04,5.472598648000000310e+01,2.288921902912533213e+01,-1.415221245023995245e+01
1.117800000000000000e+04,5.589007568000000248e+01,2.180542202257717221e+01,-1.483762768832358070e+01
1.141200000000000000e+04,5.706010056000000219e+01,2.053710893913153868e+01,-1.535028929441538637e+01
1.164400000000000000e+04,5.821782302999999814e+01,1.924531229920930642e+01,-1.504798739054173851e+01
1.188800000000000000e+04,5.943584823999999855e+01,1.843627505108559106e+01,-1.393100004453086349e+01
1.211800000000000000e+04,6.058785628999999773e+01,1.786945366305319993e+01,-1.280656440205547852e+01
1.235500000000000000e+04,6.176985931000000107e+01,1.675437906330467897e+01,-1.225868700975344439e+01
1.259400000000000000e+04,6.296997833000000355e+01,1.561254028469670452e+01,-1.279391518882013656e+01
1.282700000000000000e+04,6.413379668999999694e+01,1.450784899955347385e+01,-1.360728912774896671e+01
1.306700000000000000e+04,6.533379363999999612e+01,1.318998336734450660e+01,-1.352163765115658300e+01
1.330400000000000000e+04,6.651584624999999562e+01,1.228022890829351788e+01,-1.246354889106277675e+01
1.353600000000000000e+04,6.767984008999999901e+01,1.166653818156331646e+01,-1.128614849530721465e+01
1.377400000000000000e+04,6.886779785000000231e+01,1.059894922581351473e+01,-1.076965762262789639e+01
1.400900000000000000e+04,7.004380034999999793e+01,9.274214043169060062e+00,-1.089856338612965025e+01
1.424200000000000000e+04,7.120772553000000471e+01,8.012747967794924264e+00,-1.132401766179293290e+01
1.449100000000000000e+04,7.244986724999999694e+01,6.652676648316573349e+00,-1.158839429830308276e+01
1.473400000000000000e+04,7.366774750000000438e+01,5.688010813835870039e+00,-1.066155621763006067e+01
1.497900000000000000e+04,7.489173888999999917e+01,5.135702685197082396e+00,-9.525485915650680369e+00
1.522200000000000000e+04,7.610983276000000330e+01,4.058203974507174294e+00,-8.964917874765735206e+00
1.545900000000000000e+04,7.729174041999999645e+01,2.826136451936764438e+00,-9.261590454939922168e+00
1.569900000000000000e+04,7.849185943999999893e+01,1.598274106046069232e+00,-9.889689220695595750e+00
1.595600000000000000e+04,7.977570342999999298e+01,3.895998798181961043e-01,-9.381913074295971100e+00
1.619400000000000000e+04,8.097596740999999554e+01,5.292833756190502559e-01,-8.109616520421498720e+00
1.644100000000000000e+04,8.219983673000000124e+01,1.602824898302627865e+00,-7.470112338203568569e+00
1.667800000000000000e+04,8.338780212000000347e+01,2.780232819514285580e+00,-7.080073125985046012e+00
1.690800000000000000e+04,8.453988648000000694e+01,3.678149613102991822e+00,-6.342681485273425679e+00
1.716000000000000000e+04,8.579403686999999934e+01,4.054348142128057830e+00,-5.196009925165921750e+00
1.739300000000000000e+04,8.696392059000000074e+01,3.612159657151921888e+00,-4.116425586749274501e+00
1.763100000000000000e+04,8.815177918000000545e+01,2.581849708992269399e+00,-3.534358227482965908e+00
1.787300000000000000e+04,8.936386871000000554e+01,1.517334810964741987e+00,-4.016832094005746256e+00
1.812100000000000000e+04,9.059966278000000273e+01,7.295902825575175665e-01,-5.045762877860754614e+00
1.835600000000000000e+04,9.177575683999999967e+01,-6.603470063612970620e-02,-6.011488452813654959e+00
1.860000000000000000e+04,9.299381255999999496e+01,-7.101460593574979718e-01,-7.010644875785609464e+00
1.884700000000000000e+04,9.422973632999999438e+01,-1.003353688813608535e+00,-8.295564439816264013e+00
1.907100000000000000e+04,9.535166168000000653e+01,-1.789549934179846868e+00,-9.361150411839183505e+00
1.934000000000000000e+04,9.669566344999999785e+01,-2.940956535535782734e+00,-8.852182988172430100e+00
1.957500000000000000e+04,9.787168884000000446e+01,-2.968558839294666463e+00,-7.616770865507606736e+00
1.982400000000000000e+04,9.911373138000000438e+01,-2.168939142827098987e+00,-6.574461726614008406e+00
2.006400000000000000e+04,1.003137740999999892e+02,-1.494621264900766633e+00,-5.539927822138700719e+00
2.030600000000000000e+04,1.015256499999999988e+02,-9.164471612682907331e-01,-4.412279071024780563e+00
2.053800000000000000e+04,1.026837920999999909e+02,-7.973047010166898207e-01,-3.135503024035646735e+00
2.079500000000000000e+04,1.039737244000000089e+02,-8.123291020168903476e-01,-1.776111885556884928e+00
2.120000000000000000e+04,1.059956360000000046e+02,-5.555286380510147115e-01,-4.223990202464781851e-01
