strideIndex,timestamp,gcpX,gcpY
8.700000000000000000e+01,4.401255029999999735e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.180000000000000000e+02,1.595234923000000027e+00,6.453410659387575077e-01,2.650994464835576547e-03
5.370000000000000000e+02,2.690128330999999928e+00,6.663852629031428165e-01,1.100008288559611414e+00
7.580000000000000000e+02,3.795034790999999963e+00,-6.272086125561125991e-01,1.171902531383494983e+00
9.970000000000000000e+02,4.990296669000000129e+00,-7.617560701475859508e-01,-2.404318162525863056e-01
1.234000000000000000e+03,6.175090224999999933e+00,4.601734380542950031e-01,-9.210182899117315136e-01
2.338000000000000000e+03,1.169512767400000008e+01,1.278688644448676026e+00,-8.949526979895627843e-02
2.531000000000000000e+03,1.266006018600000083e+01,1.082624159330362268e+00,4.682437510938604053e-01
2.757000000000000000e+03,1.379016667500000004e+01,-9.336697619784450897e-02,1.175776850242572724e+00
2.986000000000000000e+03,1.493506463099999948e+01,-8.492650706681267314e-01,2.487844715782550620e-01
3.213000000000000000e+03,1.607015755400000145e+01,1.557414021316372299e-03,-7.103787955138347598e-01
4.225000000000000000e+03,2.113008704399999971e+01,1.083870411951152857e+00,-5.595711318072815743e-01
4.419000000000000000e+03,2.210007118500000090e+01,1.217938732992700945e+00,1.103211635488710041e-02
4.640000000000000000e+03,2.320492930099999995e+01,4.791358809703691324e-01,1.082782242277252394e+00
4.855000000000000000e+03,2.427993384599999871e+01,-7.555422553608733827e-01,7.476536490383449696e-01
5.073000000000000000e+03,2.537003461999999843e+01,-6.722558959131772482e-01,-4.720479991685350152e-01
5.811000000000000000e+03,2.906004172700000154e+01,6.784724623536642074e-01,-8.057830176078853990e-01
6.022000000000000000e+03,3.011504588500000068e+01,9.977043277568905522e-01,-3.657388836407690635e-01
6.243000000000000000e+03,3.121986468200000076e+01,5.608866590555694476e-01,8.697247900898721351e-01
6.460000000000000000e+03,3.230487061800000248e+01,-6.467695442200590561e-01,8.158780830085134994e-01
6.704000000000000000e+03,3.352497483799999856e+01,-7.207869274710743124e-01,-5.030991226884657941e-01
6.937000000000000000e+03,3.469003252800000325e+01,5.345030925426947910e-01,-8.042745970216856888e-01
7.703000000000000000e+03,3.851969870399999962e+01,1.005374651552087384e+00,3.005365717963042194e-01
7.905000000000000000e+03,3.952975800899999825e+01,7.002184544611127492e-01,8.829518638992899238e-01
8.132000000000000000e+03,4.066486537400000145e+01,-5.665735046621177551e-01,9.618910110106011491e-01
8.345000000000000000e+03,4.172978288200000208e+01,-7.608888785744543082e-01,-4.448980967457196734e-01
8.566000000000000000e+03,4.283480036499999954e+01,3.920519428322266631e-01,-9.041626565128653148e-01
8.795000000000000000e+03,4.397976969199999786e+01,1.482870860766805743e+00,-7.368250747111837473e-02
9.427000000000000000e+03,4.713971867200000077e+01,1.310353709290175805e+00,5.788869812358942157e-01
9.624000000000000000e+03,4.812488119100000006e+01,8.412627654661614107e-01,9.516998213665319728e-01
9.853000000000000000e+03,4.926969287499999695e+01,-5.195480145307453945e-01,8.798082151254645877e-01
1.007400000000000000e+04,5.037464878600000162e+01,-5.795393836193489800e-01,-4.397691316267045569e-01
1.032100000000000000e+04,5.160975991299999777e+01,2.644441536938978432e-01,-4.800534077213101658e-01
1.112000000000000000e+04,5.560466478800000090e+01,-5.698304396169783653e-02,7.813206712179605884e-02
