strideIndex,timestamp,gcpX,gcpY
3.870000000000000000e+02,1.934681326250000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.720000000000000000e+02,2.859299421000000230e+00,7.288207778656862201e-01,-4.059128893632919510e-01
8.090000000000000000e+02,4.043888330250000607e+00,1.904697202495368780e+00,-1.531390403132498523e+00
9.790000000000000000e+02,4.893673658750000044e+00,3.485384069841908072e+00,-1.829371992158034477e+00
1.159000000000000000e+03,5.793529152499999668e+00,5.272154284150230907e+00,-2.297252533814329922e+00
1.342000000000000000e+03,6.708401441499999507e+00,7.115813964787695234e+00,-3.201051173994632126e+00
1.512000000000000000e+03,7.558302402000000697e+00,9.015923408947434936e+00,-4.085065370834797704e+00
1.690000000000000000e+03,8.448249817000000661e+00,1.119584052259869367e+01,-4.466617959098022617e+00
1.862000000000000000e+03,9.308187007500000831e+00,1.337361066417418876e+01,-4.879144576981333081e+00
2.047000000000000000e+03,1.023309040000000003e+01,1.517280726131595614e+01,-5.610235272335537537e+00
2.251000000000000000e+03,1.125302029000000026e+01,1.671115181729258126e+01,-6.257318750023758369e+00
2.432000000000000000e+03,1.215796470999999990e+01,1.816111566024317270e+01,-6.844553672466174632e+00
2.639000000000000000e+03,1.319289779500000037e+01,1.957650287201028405e+01,-7.523535292811029507e+00
2.835000000000000000e+03,1.417285585249999968e+01,2.094448293445930176e+01,-8.198972594669593050e+00
3.042000000000000000e+03,1.520783138000000179e+01,2.233650509317429211e+01,-8.794911609709270550e+00
3.252000000000000000e+03,1.625778580000000062e+01,2.375526213605638048e+01,-9.291134798680204199e+00
3.422000000000000000e+03,1.710775947500000171e+01,2.519270466001073316e+01,-9.862456941019992485e+00
3.605000000000000000e+03,1.802275323749999814e+01,2.707244094688213920e+01,-1.009580537538136902e+01
3.782000000000000000e+03,1.890771103000000153e+01,2.908288523505521894e+01,-1.039503566153609881e+01
3.963000000000000000e+03,1.981267881250000329e+01,3.108499988160365390e+01,-1.090386465253034842e+01
4.148000000000000000e+03,2.073767471000000029e+01,3.307033904060859442e+01,-1.165005325048769969e+01
4.332000000000000000e+03,2.165765761999999839e+01,3.429521571646962741e+01,-1.332712842141224741e+01
4.509000000000000000e+03,2.254262733250000039e+01,3.406374483064990955e+01,-1.528783677020302179e+01
4.692000000000000000e+03,2.345763778999999971e+01,3.329030870140721277e+01,-1.704400007524673910e+01
4.890000000000000000e+03,2.444765472499999959e+01,3.175948755339148022e+01,-1.773972388020657576e+01
5.119000000000000000e+03,2.559264373999999975e+01,3.036119199706338634e+01,-1.713740956263385584e+01
5.303000000000000000e+03,2.651265048750000375e+01,2.987866913664647228e+01,-1.579583523030072456e+01
5.523000000000000000e+03,2.761265707249999934e+01,3.008050817869811056e+01,-1.425516849115702733e+01
5.717000000000000000e+03,2.858264541750000021e+01,3.008134337297041938e+01,-1.281692466535747776e+01
5.921000000000000000e+03,2.960265016750000200e+01,2.920557519266920110e+01,-1.169165132328813606e+01
6.142000000000000000e+03,3.070764637500000305e+01,2.789366275029270525e+01,-1.104386220363751114e+01
6.354000000000000000e+03,3.176761341000000272e+01,2.651852843717685815e+01,-1.054988789166227292e+01
6.583000000000000000e+03,3.291260146999999847e+01,2.509479619883083856e+01,-1.071045100540333728e+01
6.787000000000000000e+03,3.393257522750000277e+01,2.405669224946402096e+01,-1.132539262076939401e+01
7.003000000000000000e+03,3.501253890999999641e+01,2.325587808526749356e+01,-1.247605576627385560e+01
7.188000000000000000e+03,3.593754959000000326e+01,2.226929268766183867e+01,-1.348702621748956432e+01
7.427000000000000000e+03,3.713252162749999741e+01,2.085983542008235503e+01,-1.387760938515987696e+01
7.594000000000000000e+03,3.796749496500000021e+01,1.956831151994846252e+01,-1.325053999874164390e+01
7.777000000000000000e+03,3.888249969249999793e+01,1.886056510559635768e+01,-1.156340040375498823e+01
7.965000000000000000e+03,3.982249450999999851e+01,1.850578912062587378e+01,-9.595439021896028819e+00
8.146000000000000000e+03,4.072746658500000194e+01,1.690719644406084043e+01,-8.497547199159090070e+00
8.326000000000000000e+03,4.162746048000000343e+01,1.508578986805194333e+01,-9.267143252210001236e+00
8.508000000000000000e+03,4.253747558999999967e+01,1.331144771165564400e+01,-1.055385142115700248e+01
