strideIndex,timestamp,gcpX,gcpY
5.430000000000000000e+02,2.714944064749999608e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.910000000000000000e+02,3.454960524750000150e+00,7.699714567208491012e-01,-1.861422999620816199e-01
8.710000000000000000e+02,4.354935527000000306e+00,2.937090344876021053e+00,-5.324596755023383032e-01
1.037000000000000000e+03,5.184911251499999096e+00,5.409248494056690504e+00,-9.362840004749726219e-01
1.192000000000000000e+03,5.959934235000000413e+00,8.157759267394574465e+00,-1.400789682728257102e+00
1.342000000000000000e+03,6.709963560000000271e+00,1.115390233481953963e+01,-1.884743936270184328e+00
1.487000000000000000e+03,7.434951782499999773e+00,1.426306196110249402e+01,-2.331546373922468884e+00
1.623000000000000000e+03,8.114964962250001079e+00,1.750977656374461944e+01,-2.850484991670662716e+00
1.760000000000000000e+03,8.799977303000000362e+00,2.080943037709628385e+01,-3.336235660258796809e+00
1.902000000000000000e+03,9.509999751999998807e+00,2.434344771437789845e+01,-3.686244888412791632e+00
2.049000000000000000e+03,1.024499130250000078e+01,2.778023616189932099e+01,-4.046281229610896091e+00
2.211000000000000000e+03,1.105496239500000044e+01,3.095565417171276934e+01,-4.622156618000062167e+00
2.377000000000000000e+03,1.188495850249999997e+01,3.353873114583387149e+01,-5.726233764654862668e+00
2.537000000000000000e+03,1.268495702749999943e+01,3.516470384229121038e+01,-7.592625414436659170e+00
2.704000000000000000e+03,1.351992893000000073e+01,3.577342725225477693e+01,-1.001740124122195930e+01
2.866000000000000000e+03,1.432991027499999959e+01,3.503515413407706092e+01,-1.213541110970136216e+01
3.027000000000000000e+03,1.513490081000000131e+01,3.312457319915541376e+01,-1.357374503863230686e+01
3.184000000000000000e+03,1.591989899000000008e+01,3.055365970219996186e+01,-1.401733583111149350e+01
3.335000000000000000e+03,1.667486858500000224e+01,2.774198168014786958e+01,-1.375820516849272401e+01
3.471000000000000000e+03,1.735484838249999839e+01,2.490739387532631355e+01,-1.316193930769160225e+01
3.600000000000000000e+03,1.799985123000000087e+01,2.192435138632713176e+01,-1.273021890184357474e+01
3.721000000000000000e+03,1.860486126250000183e+01,1.888867210260136176e+01,-1.237411177420057129e+01
3.847000000000000000e+03,1.923485374750000076e+01,1.554190715813648183e+01,-1.194554975243358186e+01
3.975000000000000000e+03,1.987482643249999725e+01,1.217930400477103703e+01,-1.147750164275170981e+01
4.113000000000000000e+03,2.056481743000000151e+01,8.681077474316868603e+00,-1.099005509016711990e+01
4.264000000000000000e+03,2.131981850000000023e+01,5.375747200777190926e+00,-1.068013609619915805e+01
4.427000000000000000e+03,2.213481616750000214e+01,2.552345358850849344e+00,-1.016510984540514073e+01
4.594000000000000000e+03,2.296979236499999644e+01,4.990133104719429724e-01,-8.778649424368868637e+00
4.764000000000000000e+03,2.381977844000000033e+01,-5.545032875383407722e-01,-6.768873621519992057e+00
4.940000000000000000e+03,2.469981956999999895e+01,-7.558018626557727604e-01,-4.599152698531117522e+00
5.132000000000000000e+03,2.565980339000000043e+01,-5.702501536986643860e-01,-2.635276031501566862e+00
5.599000000000000000e+03,2.799480438000000149e+01,-3.873686888126414152e-01,-7.729615119315935701e-01
