strideIndex,timestamp,gcpX,gcpY
3.340000000000000000e+02,1.669863938999999853e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.970000000000000000e+02,2.984789549999999458e+00,6.887167881815753345e-01,-1.613914052137075672e-01
8.600000000000000000e+02,4.299749374000000124e+00,1.885313171968212353e+00,-5.519821044229225038e-01
1.118000000000000000e+03,5.589692830999999806e+00,3.151184693090391953e+00,-7.698129838037360839e-01
1.379000000000000000e+03,6.894691467249999484e+00,4.388821357979222348e+00,-9.656713145503531548e-01
1.609000000000000000e+03,8.044652938749999649e+00,5.650360306608403604e+00,-1.250964989719608011e+00
1.880000000000000000e+03,9.399655342000000857e+00,6.944462598561145228e+00,-1.506065475729849723e+00
2.137000000000000000e+03,1.068462753250000041e+01,8.171693952366117841e+00,-1.743693765792321493e+00
2.375000000000000000e+03,1.187460303250000138e+01,9.410497990925145828e+00,-1.974461081610323188e+00
2.623000000000000000e+03,1.311462068250000002e+01,1.062733492805369195e+01,-2.213067176334697628e+00
2.880000000000000000e+03,1.439960289000000060e+01,1.193515508309258522e+01,-2.506610089848279710e+00
3.129000000000000000e+03,1.564464521749999903e+01,1.321022913480427263e+01,-2.780336527467196284e+00
3.369000000000000000e+03,1.684465837750000006e+01,1.440961157939712933e+01,-3.019526309026669519e+00
3.606000000000000000e+03,1.802964592000000010e+01,1.557290949444282724e+01,-3.255568595175416746e+00
3.851000000000000000e+03,1.925468254249999589e+01,1.681896590147126958e+01,-3.501046558551693444e+00
4.085000000000000000e+03,2.042466259250000249e+01,1.806659060900136282e+01,-3.748878334481369645e+00
4.352000000000000000e+03,2.175967217000000176e+01,1.929558527951998670e+01,-3.992978928165221930e+00
4.609000000000000000e+03,2.304464722000000165e+01,2.055301663148862090e+01,-4.237675464892535437e+00
4.866000000000000000e+03,2.432961940999999939e+01,2.184574155374893678e+01,-4.509837687412591833e+00
5.111000000000000000e+03,2.555461310999999824e+01,2.309121018853949536e+01,-4.753158216248410284e+00
5.376000000000000000e+03,2.687957954000000171e+01,2.433452275059051928e+01,-4.991967497990366986e+00
5.633000000000000000e+03,2.816459369999999751e+01,2.559273825280997627e+01,-5.237840940994378691e+00
5.884000000000000000e+03,2.941957474000000161e+01,2.683546168082218841e+01,-5.479591807527620873e+00
6.133000000000000000e+03,3.066457128499999740e+01,2.802385785109794725e+01,-5.732899017203767045e+00
6.395000000000000000e+03,3.197456932000000052e+01,2.920480118948855974e+01,-5.987773165580631662e+00
6.650000000000000000e+03,3.324954796000000101e+01,3.041928022866091652e+01,-6.243244618801884194e+00
