strideIndex,timestamp,gcpX,gcpY
3.500000000000000000e+02,1.750030874999999986e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.350000000000000000e+02,3.175039946749999675e+00,7.225421569739781669e-01,-3.198173534052399514e-02
8.870000000000000000e+02,4.435053467499999513e+00,9.664535888308586342e-01,-1.319363657463685557e+00
1.114000000000000000e+03,5.570031166000000589e+00,-1.389312793766776244e-01,-2.137523356506487282e+00
1.379000000000000000e+03,6.895046711250000016e+00,-1.451575781770005236e+00,-1.617757630109899036e+00
1.623000000000000000e+03,8.115011215500000930e+00,-1.597513236633610445e+00,-1.638641473306644003e-01
1.844000000000000000e+03,9.219960213000000238e+00,-8.971635303039399156e-01,1.093922117836809926e+00
2.108000000000000000e+03,1.053939532999999962e+01,5.293804656749728776e-01,1.406199602674438554e+00
2.348000000000000000e+03,1.173904609999999948e+01,1.529175768245913281e+00,4.453778955106786341e-01
2.607000000000000000e+03,1.303371167000000064e+01,1.662920460501174702e+00,-9.966270827378519437e-01
2.813000000000000000e+03,1.406353450249999959e+01,1.472238841067373682e+00,-2.390657398050292759e+00
3.106000000000000000e+03,1.552835416499999965e+01,3.218504060937715794e-01,-3.150501756244118212e+00
3.335000000000000000e+03,1.667322588000000039e+01,-9.768717576979355499e-01,-2.845249825412901501e+00
3.558000000000000000e+03,1.778817272499999902e+01,-2.156147333643759989e+00,-2.140419976458102891e+00
3.814000000000000000e+03,1.906808280999999994e+01,-2.467182262561052664e+00,-7.530608762272308354e-01
4.064000000000000000e+03,2.031803512999999839e+01,-2.345058641053122006e+00,6.638561365402028125e-01
4.278000000000000000e+03,2.138801670499999830e+01,-1.784279409459381460e+00,1.918467093535690893e+00
4.564000000000000000e+03,2.281796264999999835e+01,-4.088537390122207738e-01,2.273451917260562283e+00
4.819000000000000000e+03,2.409296512499999920e+01,9.889920462038099824e-01,2.122600464653110031e+00
5.065000000000000000e+03,2.532291841749999861e+01,2.145144054496512354e+00,1.289079898787605982e+00
5.317000000000000000e+03,2.658290910750000080e+01,2.667210151746276736e+00,-5.916622482779521075e-03
5.568000000000000000e+03,2.783789635000000118e+01,2.848452705558095932e+00,-1.328972228528031874e+00
5.820000000000000000e+03,2.909787177999999841e+01,2.758934663586082081e+00,-2.624885620758198534e+00
6.066000000000000000e+03,3.032791423499999794e+01,2.859277388808141307e+00,-3.815913889732116981e+00
6.315000000000000000e+03,3.157289648249999914e+01,3.691591187303988608e+00,-4.891221167133982917e+00
6.563000000000000000e+03,3.281292629499998981e+01,2.815896240497031133e+00,-5.963192883242557585e+00
6.812000000000000000e+03,3.405794525000000306e+01,1.538540519515706695e+00,-6.093528458110976764e+00
7.092000000000000000e+03,3.545792769999999905e+01,5.963683593464881305e-01,-6.715699351517336879e+00
7.356000000000000000e+03,3.677794647000000339e+01,-4.519723085254583328e-01,-7.592022262370295316e+00
7.611000000000000000e+03,3.805290603750000145e+01,-1.382279485657810447e+00,-6.569943715400427209e+00
7.865000000000000000e+03,3.932291221750000432e+01,-2.010347669274957561e+00,-5.469964007984032150e+00
8.128000000000000000e+03,4.063786696999999748e+01,-2.656768299519141507e+00,-4.317561140582744095e+00
8.368000000000000000e+03,4.183785248000000223e+01,-3.212367042834267217e+00,-3.142500275594614312e+00
8.611000000000000000e+03,4.305291652500000055e+01,-3.558002582071933428e+00,-1.876003898175441664e+00
8.869000000000000000e+03,4.434294223500000243e+01,-3.628487233406653356e+00,-6.028751089611597003e-01
9.122000000000000000e+03,4.560800743000000068e+01,-3.505583565061393347e+00,6.405559057345806551e-01
9.377000000000000000e+03,4.688298035000000397e+01,-3.456718613642633997e+00,1.900243254453635844e+00
9.649000000000000000e+03,4.824294662249999988e+01,-3.166770426695510565e+00,3.180998909871980640e+00
9.886000000000000000e+03,4.942790222000000000e+01,-1.946407858830221604e+00,3.483778042166858491e+00
1.014600000000000000e+04,5.072785950000000099e+01,-6.996657475836316475e-01,3.407757597256329873e+00
1.040600000000000000e+04,5.202786827000000613e+01,5.871770946271920311e-01,3.345947408365105957e+00
1.063900000000000000e+04,5.319283962499999774e+01,1.858367009623275834e+00,3.346394635655490113e+00
1.091200000000000000e+04,5.455783843999999760e+01,3.064788872987302515e+00,3.352418554419065444e+00
1.116800000000000000e+04,5.583782195999999942e+01,4.300224459628847917e+00,2.804020969395518037e+00
1.141300000000000000e+04,5.706280899000000062e+01,5.120804943616083627e+00,1.789691797331895762e+00
1.164200000000000000e+04,5.820781898500000295e+01,6.073444410250977477e+00,1.083825629698409232e+00
1.192700000000000000e+04,5.963278197999999719e+01,7.288730586392698996e+00,8.746904818183054431e-01
1.216100000000000000e+04,6.080281448249999698e+01,8.412793609311572496e+00,1.233392754610774800e+00
1.243500000000000000e+04,6.217280578749999620e+01,9.454512084081818202e+00,2.015949218594269787e+00
1.266900000000000000e+04,6.334282779499999805e+01,1.076534735554552036e+01,2.421610273030959437e+00
1.293700000000000000e+04,6.468284606999999653e+01,1.206903258530843281e+01,2.413747595496100740e+00
1.319200000000000000e+04,6.595783233999999595e+01,1.332432658092510280e+01,2.245896516951033650e+00
1.343800000000000000e+04,6.718785857999999678e+01,1.457162105176071343e+01,2.191891859532312470e+00
1.370100000000000000e+04,6.850281524999998339e+01,1.588682007911390848e+01,2.219305696352617208e+00
1.392900000000000000e+04,6.964280700999999851e+01,1.719132312325702117e+01,2.435943199618664678e+00
1.421500000000000000e+04,7.107278252000000407e+01,1.849936699956272435e+01,2.234291971853625824e+00
1.446600000000000000e+04,7.232737732000001074e+01,1.971669313174191274e+01,1.968873268832031620e+00
1.472600000000000000e+04,7.362689208999999835e+01,2.082677973098008195e+01,1.363163980318282897e+00
1.497200000000000000e+04,7.485658263999999917e+01,2.176287800715725140e+01,4.940575326732705719e-01
1.522500000000000000e+04,7.612135315000000446e+01,2.280956060676604125e+01,-2.998209910679783263e-02
1.548900000000000000e+04,7.744115447999999446e+01,2.413806528623559444e+01,-6.967235770367552483e-02
1.575200000000000000e+04,7.875604248000000496e+01,2.529397630447956047e+01,5.554482049897930818e-01
1.599300000000000000e+04,7.996093750000000000e+01,2.639067349993815625e+01,1.278984839496471571e+00
1.624400000000000000e+04,8.121587372000000471e+01,2.771557200772904395e+01,1.472127129152246860e+00
1.649800000000000000e+04,8.248582076999998947e+01,2.899489111391849860e+01,1.374758630454722574e+00
1.677500000000000000e+04,8.387076568749999694e+01,3.026133849248155272e+01,1.336443655173770395e+00
1.702600000000000000e+04,8.512575531000000240e+01,3.156649191704967805e+01,1.363564465229686995e+00
1.728100000000000000e+04,8.640070533749999981e+01,3.285836420049137985e+01,1.160047873092508119e+00
1.752600000000000000e+04,8.762571334499999409e+01,3.377071610056362516e+01,1.392374056527541093e-01
1.780100000000000000e+04,8.900067329749998635e+01,3.362169631838855821e+01,-1.232672979365340149e+00
1.805200000000000000e+04,9.025566863999999612e+01,3.347562415713716888e+01,-2.548652053555864327e+00
