strideIndex,timestamp,gcpX,gcpY
4.900000000000000000e+01,2.744995772999999861e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.980000000000000000e+02,4.489957332499999509e+00,1.005078792391227438e+00,3.488009583404554081e-02
6.980000000000000000e+02,5.989950418500000318e+00,1.999312823772895431e+00,1.178059111303444567e-01
1.022000000000000000e+03,7.609904051000000003e+00,2.754809684444000428e+00,3.924647786662486815e-01
1.301000000000000000e+03,9.004942179000000380e+00,2.909812347086510709e+00,1.301639775338359284e+00
1.592000000000000000e+03,1.045997333999999945e+01,3.550577536694497827e+00,2.067076233698319498e+00
1.873000000000000000e+03,1.186502599749999831e+01,4.562344736439128745e+00,2.038298924565818293e+00
2.160000000000000000e+03,1.330001067999999975e+01,5.108871585512679836e+00,1.216955267354212111e+00
2.438000000000000000e+03,1.468997144999999804e+01,5.656999400881305817e+00,6.073341571396648764e-01
2.722000000000000000e+03,1.610994147999999981e+01,6.726301877958258402e+00,7.275390343996747111e-01
3.000000000000000000e+03,1.749991797999999932e+01,7.838806234595841360e+00,8.569958088936937557e-01
3.254000000000000000e+03,1.876990890500000120e+01,8.931956189082510988e+00,1.046564205536683723e+00
3.496000000000000000e+03,1.997987747000000169e+01,1.010374370574587033e+01,1.143903898323947788e+00
3.772000000000000000e+03,2.135989570999999998e+01,1.130235701481321264e+01,1.310967165760668074e+00
3.989000000000000000e+03,2.244486808999999994e+01,1.237423346049855688e+01,1.484869107052178006e+00
4.292000000000000000e+03,2.395984078000000039e+01,1.283853462124793943e+01,2.351860705700501875e+00
4.569000000000000000e+03,2.534483432499999722e+01,1.337238338027330364e+01,3.301798862891315522e+00
4.843000000000000000e+03,2.671483325750000049e+01,1.436007235638755652e+01,3.330547540467479806e+00
5.041000000000000000e+03,2.770486116749999894e+01,1.488459273119078397e+01,2.649577367540440154e+00
5.355000000000000000e+03,2.927485704499999741e+01,1.525725404178207611e+01,1.774981719490223320e+00
5.603000000000000000e+03,3.051489401250000100e+01,1.639087807640720840e+01,2.004697953396818999e+00
5.840000000000000000e+03,3.169987297000000126e+01,1.757278905544304237e+01,2.151610980846913712e+00
6.076000000000000000e+03,3.287986373999999756e+01,1.881024285406629204e+01,2.139037346809973261e+00
6.322000000000000000e+03,3.410986519000000072e+01,2.000530919221193216e+01,2.410429033180752523e+00
6.558000000000000000e+03,3.528982352999999961e+01,2.129573756812546748e+01,2.584562908797053637e+00
6.778000000000000000e+03,3.638965987999999641e+01,2.228234519033616223e+01,2.713908955492570385e+00
7.032000000000000000e+03,3.765912628000000240e+01,2.240430087197387365e+01,3.763130005470257444e+00
7.274000000000000000e+03,3.886879730499999397e+01,2.316404601864294222e+01,4.535899254413816806e+00
7.522000000000000000e+03,4.010849380499999484e+01,2.427892049564447774e+01,4.454113555599411356e+00
7.769000000000000000e+03,4.134331131000000426e+01,2.466790312354523351e+01,3.536163385278918270e+00
7.999000000000000000e+03,4.249316788000000145e+01,2.531495734074664483e+01,3.066426395036647268e+00
8.225000000000000000e+03,4.362304496749999316e+01,2.646599333720845593e+01,3.277094700315747566e+00
8.463000000000000000e+03,4.481298065000000008e+01,2.772681335144865500e+01,3.429518096457359277e+00
8.687000000000000000e+03,4.593290615499999774e+01,2.893268134758858068e+01,3.611560333000093159e+00
8.929000000000000000e+03,4.714284992500000726e+01,3.014261949135411811e+01,3.726606794315535431e+00
9.154000000000000000e+03,4.826784134000000392e+01,3.133632371194486765e+01,3.875952814496291587e+00
9.420000000000000000e+03,4.959778595000000223e+01,3.223647161708298370e+01,4.095574646005507802e+00
9.633000000000000000e+03,5.066278458000000029e+01,3.212927302053551415e+01,5.007299089518049584e+00
9.922000000000000000e+03,5.210774612499999847e+01,3.287865466798779579e+01,5.732480547128290027e+00
1.015200000000000000e+04,5.325772476000000211e+01,3.394174999950410410e+01,5.820709318559273981e+00
1.041100000000000000e+04,5.455273818999999946e+01,3.451729797307625347e+01,4.875956689498627483e+00
1.066100000000000000e+04,5.580272007249999433e+01,3.504425015250599529e+01,4.274855699153220279e+00
1.088600000000000000e+04,5.692775344999999731e+01,3.616798957349885058e+01,4.544675479204022039e+00
1.113200000000000000e+04,5.815776061999999769e+01,3.730869469503135605e+01,4.715818184890009590e+00
1.133300000000000000e+04,5.916274833749999829e+01,3.833728661943791138e+01,4.522873495806282840e+00
1.161800000000000000e+04,6.058777809500000444e+01,3.857152974099491871e+01,3.435124370316757769e+00
1.178300000000000000e+04,6.141276454750000369e+01,3.829764737036204281e+01,2.359478310008572777e+00
1.180400000000000000e+04,6.151776122999999785e+01,3.697706649861569161e+01,2.059818233959645806e+00
1.208900000000000000e+04,6.294276427999999868e+01,3.541062307813201926e+01,2.060823432141686951e+00
1.223400000000000000e+04,6.366775322000000870e+01,3.361051944926831681e+01,1.944940191974140919e+00
1.238500000000000000e+04,6.442272186249999777e+01,3.174070510069119422e+01,1.705799434563068484e+00
1.254000000000000000e+04,6.519769286999999736e+01,2.988395417888207106e+01,1.108638640169321121e+00
1.269400000000000000e+04,6.596769714499998827e+01,2.788162685151503695e+01,1.257397754441936577e+00
1.283100000000000000e+04,6.665269469999999785e+01,2.608022635367141717e+01,1.035593231564782002e+00
