strideIndex,timestamp,gcpX,gcpY
1.620000000000000000e+02,8.099898694999999593e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.930000000000000000e+02,1.964976042750000040e+00,5.687510459002333985e-01,-1.234797464663362765e-01
6.290000000000000000e+02,3.144972979750000341e+00,1.732186191855209723e+00,-4.764367709845097054e-01
8.760000000000000000e+02,4.380006312999999984e+00,2.968108964076944467e+00,-7.367517745931044804e-01
1.096000000000000000e+03,5.480027198999999349e+00,3.556077463923161375e+00,-1.458151932338275225e-01
1.344000000000000000e+03,6.720039367999999236e+00,4.538108115961407840e+00,6.833650033804763435e-01
1.582000000000000000e+03,7.910037517500000170e+00,5.638615372176517759e+00,2.674073384458193203e-01
1.813000000000000000e+03,9.065032005500000878e+00,5.767725826826190172e+00,-9.104481240368039741e-01
2.019000000000000000e+03,1.009502315500000158e+01,6.363765490441611661e+00,-1.465752292396106382e+00
2.253000000000000000e+03,1.126505231750000036e+01,7.698901117420753337e+00,-1.749833016083951920e+00
2.491000000000000000e+03,1.245489168250000134e+01,9.124418839381648993e+00,-2.112048731335819163e+00
2.718000000000000000e+03,1.358958626000000081e+01,1.043016587620732771e+01,-2.329298992143390201e+00
2.949000000000000000e+03,1.474425101499999968e+01,1.171959764894817368e+01,-2.635108906054630662e+00
3.183000000000000000e+03,1.591398000749999930e+01,1.274794330990779478e+01,-2.800847258844554766e+00
3.399000000000000000e+03,1.699381494750000243e+01,1.313212532859881243e+01,-2.285070973509045089e+00
3.651000000000000000e+03,1.825364112999999833e+01,1.400048435198765695e+01,-1.558967257433187648e+00
3.882000000000000000e+03,1.940853500500000095e+01,1.514431893943264029e+01,-1.921965103934463626e+00
4.128000000000000000e+03,2.063843917999999888e+01,1.534524634213813776e+01,-3.000889651269458280e+00
4.293000000000000000e+03,2.146338176500000117e+01,1.583000559724640866e+01,-3.592230893351280763e+00
4.466000000000000000e+03,2.232832622499999786e+01,1.705770998936312211e+01,-3.894765065929069792e+00
4.623000000000000000e+03,2.311328887999999893e+01,1.843315489562293408e+01,-4.097585947112310834e+00
4.797000000000000000e+03,2.398326635249999939e+01,1.975961530726638316e+01,-4.416620077485046814e+00
4.969000000000000000e+03,2.484324312749999919e+01,2.104424063449469529e+01,-4.608773059880715728e+00
5.139000000000000000e+03,2.569322204750000083e+01,2.211527675179050334e+01,-4.897485088462691039e+00
5.300000000000000000e+03,2.649819374000000138e+01,2.281321786204173208e+01,-4.645915601796914096e+00
5.550000000000000000e+03,2.774815654500000051e+01,2.333135768823441936e+01,-3.719281304723351944e+00
5.762000000000000000e+03,2.880812453999999789e+01,2.444206645491471619e+01,-3.896907416597512608e+00
5.957000000000000000e+03,2.978311348000000081e+01,2.515042144862632512e+01,-4.640586919396821663e+00
6.160000000000000000e+03,3.079811095999999893e+01,2.535400265990292468e+01,-5.529687976878562949e+00
6.310000000000000000e+03,3.154812241000000128e+01,2.646244145756866217e+01,-5.984234379162568729e+00
6.479000000000000000e+03,3.239311122750000038e+01,2.795171329192032772e+01,-6.270322483436122418e+00
6.628000000000000000e+03,3.313813018999999827e+01,2.941535801695528463e+01,-6.650097573295026265e+00
6.797000000000000000e+03,3.398315047999999905e+01,3.076289653678963276e+01,-6.877519950300126084e+00
6.992000000000000000e+03,3.495815659000000153e+01,3.180636675080757314e+01,-6.955461675052374559e+00
7.211000000000000000e+03,3.605312347750000157e+01,3.241015448715106828e+01,-6.530753105040894013e+00
7.438000000000000000e+03,3.718809127999999475e+01,3.312148564638800963e+01,-5.745706621131412284e+00
7.647000000000000000e+03,3.823308562999999793e+01,3.422939975719106798e+01,-6.034302052632790847e+00
7.883000000000000000e+03,3.941305828499999819e+01,3.467418948117372679e+01,-7.088810042853550542e+00
8.032000000000000000e+03,4.015804672000000153e+01,3.506107723794646347e+01,-7.668963353332221899e+00
8.192000000000000000e+03,4.095803451999999822e+01,3.623898071088513717e+01,-8.035324388977395316e+00
8.348000000000000000e+03,4.173801421999999661e+01,3.762326617500982451e+01,-8.118262641991920603e+00
8.511000000000000000e+03,4.255300902999999835e+01,3.797659969006481617e+01,-9.132276659221904680e+00
8.667000000000000000e+03,4.333299636999999649e+01,3.740378905659913755e+01,-1.022915813786426398e+01
8.809000000000000000e+03,4.404298782250000244e+01,3.611223306119447329e+01,-1.024636600624693372e+01
8.953000000000000000e+03,4.476298141249999674e+01,3.469142968288856821e+01,-9.797145837293530946e+00
9.118000000000000000e+03,4.558796692000000661e+01,3.308954098265250110e+01,-9.501760339924425480e+00
9.281000000000000000e+03,4.640296936000000017e+01,3.156030500621486112e+01,-9.234563168590558035e+00
9.427000000000000000e+03,4.713298320749999704e+01,3.023494295874287019e+01,-8.919864196363365139e+00
9.580000000000000000e+03,4.789797973999999670e+01,2.888592272517553994e+01,-8.189490723798853011e+00
9.732000000000000000e+03,4.865799332000000277e+01,2.726918161340170954e+01,-7.999363983174795578e+00
9.880000000000000000e+03,4.939798354999999930e+01,2.550369421516589696e+01,-7.693757624159573538e+00
1.002200000000000000e+04,5.010799026499999798e+01,2.377611997702388535e+01,-7.406687507797642844e+00
1.015900000000000000e+04,5.079298400999999785e+01,2.207044517067906497e+01,-7.047635345848217270e+00
1.029600000000000000e+04,5.147797012000000194e+01,2.024111621224204072e+01,-6.790498102680871284e+00
1.044000000000000000e+04,5.219795608999999814e+01,1.847425365426710897e+01,-6.290091566726067285e+00
1.057900000000000000e+04,5.289294624250000254e+01,1.680420293281811439e+01,-5.946003514350385544e+00
1.072000000000000000e+04,5.359791945999999996e+01,1.522924375096124905e+01,-5.625802678179159244e+00
1.085900000000000000e+04,5.429292488250000304e+01,1.362107595457634801e+01,-5.265574502337047491e+00
1.099000000000000000e+04,5.494792938000000504e+01,1.205708106325315043e+01,-4.913992392560480482e+00
1.112600000000000000e+04,5.562793541000000630e+01,1.045206261303188455e+01,-4.520672199270929781e+00
1.126100000000000000e+04,5.630294037000000174e+01,8.892665223285568743e+00,-4.250967210714215128e+00
1.146200000000000000e+04,5.730792808500000746e+01,7.591190147020524748e+00,-4.046936267323530956e+00
1.167900000000000000e+04,5.839293670750000587e+01,6.245542410691287571e+00,-3.628499689438661857e+00
1.191600000000000000e+04,5.957794571000000161e+01,4.892915505734624304e+00,-3.335471608894563289e+00
1.216600000000000000e+04,6.082796859999999839e+01,3.548132694418143718e+00,-3.053373770569375090e+00
1.241000000000000000e+04,6.204797744499999368e+01,2.365296135799606958e+00,-2.807750735013962995e+00
1.263900000000000000e+04,6.319298934999999773e+01,1.282168214528520256e+00,-2.536865323514976733e+00
1.289800000000000000e+04,6.448799132999999983e+01,3.020535762109723410e-01,-2.393969222253736984e+00
1.330000000000000000e+04,6.649795532000000264e+01,-1.438928104834462929e-01,-1.316687077133809503e+00
