Time,inertial-6253.76535:scaledAccelX,inertial-6253.76535:scaledAccelY,inertial-6253.76535:scaledAccelZ,inertial-6253.76535:scaledGyroX,inertial-6253.76535:scaledGyroY,inertial-6253.76535:scaledGyroZ,inertial-6253.76535:scaledMagX,inertial-6253.76535:scaledMagY,inertial-6253.76535:scaledMagZ,inertial-6253.76535:roll,inertial-6253.76535:pitch,inertial-6253.76535:yaw
0,0.5513230562210083,0.1162745207548141,-0.827473342,-0.031527143,0.016966891,-0.011624344,-0.401866913,-0.253827602,-0.199978188,-0.130699322,0.5827990174293518,2.575700998306274
0.004996864,0.5504781603813171,0.1151672750711441,-0.828253746,-0.031965923,0.012985347,-0.012934292,-0.402204067,-0.253919512,-0.200067729,-0.130921528,0.5828567743301392,2.575592517852783
0.009994752,0.5524138212203979,0.1148044541478157,-0.828346729,-0.035361737,0.013971947,-0.012936383,-0.402315855,-0.25394997,-0.200097412,-0.131168231,0.5829163193702698,2.575478315353394
0.014993664,0.552670419,0.1184526830911636,-0.826534271,-0.039097209,0.012565401,-0.015175163,-0.402401894,-0.253973424,-0.20012024,-0.131437019,0.5829724073410034,2.575349331
0.0199936,0.5532816052436829,0.1198095455765724,-0.826800883,-0.03932555,0.010320465,-0.016462602,-0.402430415,-0.253981203,-0.200127825,-0.131714568,0.583017111,2.575211048126221
0.02499456,0.5512585639953613,0.121224619,-0.825587571,-0.040027957,0.012908394,-0.015698832,-0.402189493,-0.253917158,-0.199316159,-0.13199231,0.5830744504928589,2.57508111
0.029996799,0.5509609580039978,0.1239063069224358,-0.826230705,-0.039016344,0.011769406,-0.016240364,-0.402109623,-0.253895938,-0.199047014,-0.132278129,0.5831180214881897,2.574938774108887
0.03499392,0.5525926947593689,0.1267674267292023,-0.827461898,-0.036681436,0.011075626,-0.012499554,-0.402048141,-0.253879607,-0.198839933,-0.132538468,0.5831658244132996,2.574823379516602
0.03999155,0.5489948391914368,0.1265598982572556,-0.828772545,-0.033692464,0.01079919,-0.011235749,-0.402027756,-0.253874183,-0.198771268,-0.132773668,0.5832102298736572,2.574719190597534
0.044990465,0.5499129295349121,0.1271150857210159,-0.828310192,-0.030536706,0.010818045,-0.009379325,-0.402109563,-0.253876805,-0.199669763,-0.132996723,0.5832480192184448,2.574619532
0.049990401,0.552066982,0.124395452,-0.82828033,-0.029010832,0.010353539,-0.009175451,-0.402160823,-0.253879339,-0.200203091,-0.133192345,0.5832950472831726,2.574534655
0.054991361,0.5520569086074829,0.121027984,-0.827370048,-0.029906539,0.009424723,-0.009558612,-0.402200252,-0.253881276,-0.200613469,-0.1333967,0.5833325386047363,2.574446678161621
0.059993088,0.5523160099983215,0.1194687709212303,-0.826438904,-0.027672252,0.010281565,-0.007964862,-0.402213335,-0.253881931,-0.200749531,-0.133576885,0.5833831429481506,2.574366092681885
0.064990208,0.5520336627960205,0.1225532069802284,-0.827860057,-0.027910583,0.009578443,-0.008472161,-0.401769012,-0.253862083,-0.200836226,-0.133771747,0.5834221243858337,2.574279785
0.069988094,0.5509777069091797,0.1283999532461166,-0.827689171,-0.025720118,0.009737895,-0.007574685,-0.401163489,-0.253834993,-0.200846806,-0.133965716,0.5834606885910034,2.574191331863403
0.074987009,0.547981858,0.1296088099479675,-0.827561438,-0.026163796,0.009964258,-0.007039128,-0.400697589,-0.253814161,-0.200854942,-0.134158,0.5834938883781433,2.574106216430664
0.079986945,0.5459355711936951,0.1310707777738571,-0.827072918,-0.025598247,0.009677294,-0.005748011,-0.400543094,-0.253807247,-0.200857639,-0.134353295,0.5835310816764832,2.574027538299561
0.084987901,0.546761692,0.1265053451061249,-0.826385856,-0.024485203,0.010506719,-0.00544213,-0.400424242,-0.253801942,-0.200859711,-0.134518713,0.5835704207420349,2.573960542678833
0.089989886,0.5456823706626892,0.1225683689117432,-0.827868342,-0.024827799,0.012556544,-0.004813726,-0.400985658,-0.253691167,-0.201326624,-0.134685636,0.5836189985275269,2.573895931243896
0.094987005,0.5484150052070618,0.1220339313149452,-0.830012143,-0.025204573,0.013277676,-0.004169286,-0.401417613,-0.253605932,-0.201685876,-0.134850398,0.583678126,2.573834180831909
