Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid,inertial-6253.76535:estLinearAccelX,inertial-6253.76535:estLinearAccelX:valid,inertial-6253.76535:estLinearAccelY,inertial-6253.76535:estLinearAccelY:valid,inertial-6253.76535:estLinearAccelZ,inertial-6253.76535:estLinearAccelZ:valid
0.084001794,-4.305137634,1,-3.859634638,1,-7.979589939,1,-0.016110286,1,-0.00946349,1,0.000919571,1,0.460768253,1,-0.438983351,1,0.313890219,1,-0.148377419,1,0.076665163,1,-0.049992085,1
0.087999485,-4.233674049,1,-3.902532816,1,-7.925102234,1,-0.017518369,1,-0.00725392,1,0.002328283,1,0.460707366,1,-0.439019531,1,0.313877255,1,-0.076593876,1,0.033217192,1,0.004600525,1
0.091998719,-4.284271717,1,-3.864583015,1,-7.916948318,1,-0.018304687,1,-0.01423945,1,-0.000587078,1,0.460646093,1,-0.43906486,1,0.313862205,1,-0.126790047,1,0.07059741,1,0.01282692,1
0.096000001,-4.269190788,1,-3.890033722,1,-7.957925797,1,-0.014574709,1,-0.007579237,1,0.003667579,1,0.46059531,1,-0.439102292,1,0.313843966,1,-0.111377716,1,0.044675589,1,-0.02808857,1
0.099997438,-4.286791801,1,-3.840626955,1,-7.932345867,1,-0.015857244,1,-0.011250007,1,-0.000867164,1,0.460539401,1,-0.43914938,1,0.313828945,1,-0.128561974,1,0.093551874,1,-0.002464771,1
0.103996925,-4.27733469,1,-3.840719223,1,-7.9597826,1,-0.014506856,1,-0.013767983,1,0.000761171,1,0.460482419,1,-0.439201206,1,0.313811302,1,-0.118646145,1,0.09291172,1,-0.02987051,1
0.107998461,-4.312279701,1,-3.83724761,1,-7.982586861,1,-0.015097716,1,-0.012287318,1,0.000326404,1,0.460432559,1,-0.439258158,1,0.313792646,1,-0.153087139,1,0.095882416,1,-0.052690983,1
0.111995906,-4.276535034,1,-3.84579277,1,-7.977507591,1,-0.016673943,1,-0.016691351,1,0.002240157,1,0.46038565,1,-0.439314574,1,0.313775241,1,-0.116842747,1,0.086861372,1,-0.047637463,1
0.115995139,-4.273803234,1,-3.843821287,1,-7.95190382,1,-0.011502184,1,-0.012228316,1,0.00308978,1,0.460346997,1,-0.43936801,1,0.313747585,1,-0.113638401,1,0.088427305,1,-0.022081375,1
0.119996674,-4.277032375,1,-3.858406782,1,-7.975370407,1,-0.011966704,1,-0.016718233,1,0.000726333,1,0.460314333,1,-0.439429343,1,0.313732654,1,-0.116324425,1,0.073468447,1,-0.045649529,1
0.123994112,-4.273020744,1,-3.853098392,1,-7.970451832,1,-0.007056442,1,-0.016624175,1,0.002075844,1,0.460284859,1,-0.439483404,1,0.313709319,1,-0.111834526,1,0.078444242,1,-0.040814877,1
0.127993345,-4.290841103,1,-3.844549179,1,-7.947518349,1,-0.0055787,1,-0.009348835,1,-0.000371944,1,0.460275948,1,-0.439540774,1,0.313684702,1,-0.129147053,1,0.086816549,1,-0.018060207,1
0.131994873,-4.285237312,1,-3.864896297,1,-7.970891476,1,-0.006104803,1,-0.014264722,1,0.005224273,1,0.460261464,1,-0.43959552,1,0.313661963,1,-0.123058796,1,0.066253185,1,-0.041580677,1
0.135999233,-4.268323898,1,-3.81490612,1,-7.971590042,1,-0.004284312,1,-0.015301689,1,-0.001187248,1,0.460251302,1,-0.439659983,1,0.313641638,1,-0.105575085,1,0.116043329,1,-0.042480469,1
0.140000001,-4.245271206,1,-3.860123158,1,-7.958435059,1,-0.004155334,1,-0.016972192,1,0.007229818,1,0.460245073,1,-0.439724445,1,0.313620687,1,-0.081951618,1,0.070657969,1,-0.029540539,1
0.144002303,-4.251478672,1,-3.866788626,1,-7.958958626,1,-0.003266739,1,-0.019833555,1,0.005038707,1,0.460232615,1,-0.439794183,1,0.313605368,1,-0.087542057,1,0.063765287,1,-0.030274868,1
0.148000509,-4.203785419,1,-3.858476162,1,-7.931892395,1,-0.001264521,1,-0.018071242,1,0.003816001,1,0.460229874,1,-0.43986696,1,0.313590646,1,-0.039204597,1,0.071921349,1,-0.00346899,1
0.151999995,-4.213035583,1,-3.833344698,1,-7.948384285,1,-0.007126667,1,-0.021519104,1,0.009449167,1,0.46021229,1,-0.43994841,1,0.313576102,1,-0.047734261,1,0.096762419,1,-0.020196438,1
0.156001285,-4.241850376,1,-3.874702454,1,-7.988246918,1,-0.001546224,1,-0.020008635,1,0.00684053,1,0.460205168,1,-0.440038681,1,0.313567758,1,-0.075749874,1,0.05518055,1,-0.060369968,1
0.159998715,-4.16762352,1,-3.912377357,1,-7.908743382,1,-0.003015464,1,-0.027231086,1,0.011683784,1,0.460208058,1,-0.440145433,1,0.313556135,1,-0.00057888,1,0.017331839,1,0.018726349,1
0.163998201,-4.171329021,1,-3.978398323,1,-7.921627522,1,-0.002283548,1,-0.027981497,1,0.013211614,1,0.460195959,1,-0.440273255,1,0.313546389,1,-0.003153324,1,-0.049022198,1,0.005411148,1
0.167999491,-4.241946697,1,-3.965594053,1,-7.954334259,1,-0.005144513,1,-0.02660276,1,0.014653156,1,0.460170507,1,-0.440397829,1,0.313545793,1,-0.072668552,1,-0.036650419,1,-0.027661324,1
0.17199719,-4.281623363,1,-3.88004756,1,-7.920214653,1,-0.008233175,1,-0.026789984,1,0.016614765,1,0.460141778,1,-0.440519989,1,0.31355679,1,-0.111264706,1,0.048442602,1,0.006115437,1
0.175997183,-4.322117329,1,-3.851061583,1,-7.962071896,1,-0.0128718,1,-0.029665891,1,0.020192433,1,0.460097671,1,-0.440650195,1,0.313576847,1,-0.150607109,1,0.076838017,1,-0.036055088,1
