Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid
0,-4.757198334,1,-2.139681101,1,-8.297223091,1,-0.001319999,1,0.00751221,1,0.007450303,1,0.247294083,1,-0.549930215,1,-1.869396091,1
0.004004608,-4.757462025,1,-2.16481328,1,-8.316695213,1,-0.006894988,1,0.00369148,1,0.002213192,1,0.2472772747278214,1,-0.549922109,1,-1.869380474,1
0.008005376,-4.772191525,1,-2.143300533,1,-8.330069542,1,-0.002396701,1,0.004753866,1,0.003789242,1,0.2472507953643799,1,-0.549902558,1,-1.869364142,1
0.012002304,-4.77477169,1,-2.051136732,1,-8.338061333,1,0.00227322,1,0.00392395,1,0.006416442,1,0.2472351640462875,1,-0.549896181,1,-1.8693434,1
0.016000768,-4.781956196,1,-2.027859926,1,-8.365218163,1,-0.002793476,1,0.002902513,1,0.003397391,1,0.2472243010997772,1,-0.549880028,1,-1.869327068,1
0.020001536,-4.769811153,1,-2.058164835,1,-8.350516319,1,-6.48E-05,1,0.004270342,1,-0.000330012,1,0.2472181916236877,1,-0.549874663,1,-1.86931181,1
0.023998208,-4.740729809,1,-2.102651119,1,-8.339278221,1,0.004870192,1,0.001239336,1,0.00327988,1,0.2472278922796249,1,-0.549868643,1,-1.869309425,1
0.027997185,-4.740289688,1,-2.113825083,1,-8.321009636,1,0.004338271,1,0.00113821,1,-0.000425951,1,0.2472399026155472,1,-0.549864531,1,-1.869306087,1
0.031997953,-4.731276989,1,-2.14521265,1,-8.358101845,1,0.003788139,1,-0.000939757,1,-0.000575748,1,0.2472517490386963,1,-0.549855828,1,-1.86930728,1
0.03599488,-4.75439024,1,-2.148812532,1,-8.348982811,1,0.00211291,1,-0.00094501,1,0.001900954,1,0.2472527772188187,1,-0.549866736,1,-1.869295835,1
0.039993599,-4.765995026,1,-2.147253513,1,-8.346718788,1,0.003763263,1,0.001036205,1,0.003695367,1,0.2472649067640305,1,-0.549864352,1,-1.869297624,1
0.043994367,-4.758132935,1,-2.111123085,1,-8.313591957,1,0.000449666,1,0.001156731,1,0.001622434,1,0.2472710758447647,1,-0.549862385,1,-1.869282007,1
0.047991294,-4.74788332,1,-2.158700943,1,-8.322769165,1,0.001113772,1,-0.002925967,1,0.002548567,1,0.2472768574953079,1,-0.549871683,1,-1.869271755,1
0.05198976,-4.74366045,1,-2.133103848,1,-8.323374748,1,0.003252159,1,-0.004197845,1,0.003234068,1,0.2472836971282959,1,-0.549881518,1,-1.869269371,1
0.055990271,-4.729949951,1,-2.125010967,1,-8.347303391,1,0.002353557,1,-0.003036387,1,0.003017937,1,0.2472860217094421,1,-0.549897134,1,-1.869264007,1
0.059986945,-4.755155563,1,-2.147472858,1,-8.349184036,1,0.003378253,1,-0.0057775,1,0.003954716,1,0.2472794055938721,1,-0.549914002,1,-1.869247675,1
0.063985661,-4.741551876,1,-2.166808605,1,-8.310440063,1,-0.000519736,1,-0.005677924,1,0.003475636,1,0.2472714781761169,1,-0.549930394,1,-1.869232893,1
0.067986175,-4.780932903,1,-2.192748785,1,-8.334486961,1,0.003073084,1,-0.002582906,1,0.004043608,1,0.2472630143165588,1,-0.549949229,1,-1.869216204,1
0.071982846,-4.784715176,1,-2.160161972,1,-8.311812401,1,-0.001918972,1,-0.002559613,1,0.001320439,1,0.2472457587718964,1,-0.549970031,1,-1.869197369,1
0.075981312,-4.74807024,1,-2.146176815,1,-8.303977966,1,-0.002095101,1,-0.00047034,1,0.004617061,1,0.2472342401742935,1,-0.549986064,1,-1.869180441,1
0.079981565,-4.776312351,1,-2.140445471,1,-8.324069977,1,-0.006240513,1,-0.005713844,1,0.004452554,1,0.2472119629383087,1,-0.549994767,1,-1.869160891,1
0.083978243,-4.76751852,1,-2.147815466,1,-8.307880402,1,-0.001032742,1,-0.003981712,1,0.004351092,1,0.2471860945224762,1,-0.550014257,1,-1.869140148,1
0.087976702,-4.76600647,1,-2.104477644,1,-8.299773216,1,-0.001977309,1,0.001161279,1,0.003720188,1,0.2471559792757034,1,-0.550033391,1,-1.869114399,1
0.09197747,-4.75558567,1,-2.128285646,1,-8.323917389,1,-0.002893873,1,-0.001253842,1,0.006536913,1,0.2471285909414291,1,-0.550041497,1,-1.86909306,1
0.095974147,-4.754523754,1,-2.13887167,1,-8.308456421,1,-0.003873141,1,0.00171502,1,0.004870696,1,0.2471049278974533,1,-0.550047696,1,-1.869063377,1
0.099972606,-4.722733498,1,-2.139758825,1,-8.345671654,1,-0.0022713,1,-0.003442916,1,0.002820443,1,0.2470744401216507,1,-0.550060809,1,-1.869036198,1
0.10397312,-4.7542243,1,-2.116078377,1,-8.319203377,1,-0.005931003,1,0.000547714,1,0.010996974,1,0.2470498532056808,1,-0.55007112,1,-1.869011998,1
0.107969791,-4.762155533,1,-2.110848904,1,-8.329149246,1,-0.001147279,1,-0.003445031,1,0.003179805,1,0.2469862997531891,1,-0.549006104,1,-1.869345188,1
0.111968257,-4.76477766,1,-2.129438162,1,-8.315998077,1,-0.004673876,1,-0.002061462,1,0.004929765,1,0.2469635456800461,1,-0.549018681,1,-1.869319558,1
