Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid
0,-4.42964983,1,-2.285477877,1,-8.398550987,1,0.15823853,1,-0.104943827,1,0.03767233,1,0.248695001,1,-0.461181641,1,-0.074658997,1
0.003999744,-4.613061905,1,-2.193205833,1,-8.550354958,1,0.172704577,1,-0.088993557,1,0.027639842,1,0.249350697,1,-0.46159637,1,-0.074618965,1
0.00800128,-4.520678997,1,-2.045569181,1,-8.564164162,1,0.182911247,1,-0.076311499,1,0.021448573,1,0.250062257,1,-0.461936474,1,-0.074599437,1
0.01199872,-4.509539604,1,-2.102757215,1,-8.477972984,1,0.180713758,1,-0.060242169,1,0.019407086,1,0.250776649,1,-0.462219059,1,-0.074587926,1
0.015998209,-4.45229578,1,-2.185586691,1,-8.416439056,1,0.184527948,1,-0.053855937,1,0.009257801,1,0.251727283,1,-0.46246624,1,-0.075753592,1
0.019999744,-4.533565044,1,-2.231915236,1,-8.460694313,1,0.181796312,1,-0.040434591,1,0.009345943,1,0.252464145,1,-0.462658525,1,-0.075758778,1
0.023997184,-4.458021641,1,-2.269692421,1,-8.363836288,1,0.179218307,1,-0.037324335,1,0.016057977,1,0.253189772,1,-0.46282506,1,-0.075744383,1
0.027996672,-4.383403778,1,-2.288695335,1,-8.436970711,1,0.189098939,1,-0.016896095,1,-3.58E-05,1,0.253942639,1,-0.462923467,1,-0.075746007,1
0.03199821,-4.342865467,1,-2.295174599,1,-8.428189278,1,0.185912296,1,-0.013583552,1,0.004057838,1,0.254706204,1,-0.462981641,1,-0.075756311,1
0.035995904,-4.430215359,1,-2.313751459,1,-8.358254433,1,0.188761264,1,-0.008849073,1,-0.000465429,1,0.255453557,1,-0.46303153,1,-0.075760096,1
0.039995391,-4.452935696,1,-2.416481495,1,-8.353291512,1,0.175204605,1,-0.003390462,1,0.003051605,1,0.256178916,1,-0.463047743,1,-0.075752236,1
0.043996926,-4.406490326,1,-2.471049547,1,-8.401049614,1,0.166473716,1,0.003021428,1,0.001381787,1,0.25686878,1,-0.463050544,1,-0.07574971,1
0.047994625,-4.38999176,1,-2.536725044,1,-8.302347183,1,0.155990914,1,0.009913728,1,-0.001022843,1,0.257501841,1,-0.4630225,1,-0.075744413,1
0.051993854,-4.475893974,1,-2.58792305,1,-8.443107605,1,0.132484958,1,-0.002019037,1,0.012377473,1,0.258075863,1,-0.46300441,1,-0.075713664,1
0.055995136,-4.154614925,1,-2.624827862,1,-8.058820724,1,0.118754514,1,0.013596145,1,0.005345139,1,0.258538604,1,-0.463011801,1,-0.07567241,1
0.059992831,-4.354046822,1,-2.597194672,1,-8.347061157,1,0.104504101,1,0.009713785,1,0.006263013,1,0.258974344,1,-0.462972075,1,-0.075634971,1
0.063992061,-4.341894627,1,-2.713539839,1,-8.277076721,1,0.08612816,1,0.010329656,1,0.014429653,1,0.259326935,1,-0.462954342,1,-0.075577475,1
0.067993604,-4.396939278,1,-2.633044004,1,-8.331349373,1,0.074686095,1,0.014222305,1,0.015636375,1,0.259615421,1,-0.462917805,1,-0.075498767,1
0.071991041,-4.444770336,1,-2.628940582,1,-8.317097664,1,0.055236451,1,0.018678924,1,0.021232234,1,0.259825081,1,-0.462873995,1,-0.075395778,1
0.075990528,-4.364113331,1,-2.607535362,1,-8.295126915,1,0.037568554,1,0.027460251,1,0.023850199,1,0.259950638,1,-0.462813318,1,-0.075274318,1
0.079992063,-4.372401714,1,-2.653388977,1,-8.329507828,1,0.027735543,1,0.022843856,1,0.029036311,1,0.260014713,1,-0.462750494,1,-0.075131297,1
0.083989501,-4.422291756,1,-2.643536568,1,-8.397979736,1,0.007385675,1,0.018960077,1,0.035188861,1,0.2600016,1,-0.462699622,1,-0.07496646,1
0.087988734,-4.349775314,1,-2.55692029,1,-8.182138443,1,-0.001194352,1,0.032192282,1,0.035454601,1,0.259908825,1,-0.462658584,1,-0.074784838,1
0.09199027,-4.536578655,1,-2.543025494,1,-8.442098618,1,-0.008433888,1,0.035671197,1,0.03478856,1,0.259810567,1,-0.462559879,1,-0.074593954,1
