Time,inertial-6253.76535:estCompensatedAccelX,inertial-6253.76535:estCompensatedAccelX:valid,inertial-6253.76535:estCompensatedAccelY,inertial-6253.76535:estCompensatedAccelY:valid,inertial-6253.76535:estCompensatedAccelZ,inertial-6253.76535:estCompensatedAccelZ:valid,inertial-6253.76535:estAngularRateX,inertial-6253.76535:estAngularRateX:valid,inertial-6253.76535:estAngularRateY,inertial-6253.76535:estAngularRateY:valid,inertial-6253.76535:estAngularRateZ,inertial-6253.76535:estAngularRateZ:valid,inertial-6253.76535:estRoll,inertial-6253.76535:estRoll:valid,inertial-6253.76535:estPitch,inertial-6253.76535:estPitch:valid,inertial-6253.76535:estYaw,inertial-6253.76535:estYaw:valid
0,-5.759727955,1,-2.533534765,1,-7.496999741,1,-0.000224816,1,0.000320606,1,-0.002907404,1,0.336453229,1,-0.619721174,1,0.011634314,1
0.003999488,-5.754546165,1,-2.547412634,1,-7.5553689,1,-0.00040113,1,-0.000359017,1,0.0023434,1,0.336451173,1,-0.619728267,1,0.011631608,1
0.008001024,-5.801147938,1,-2.550154209,1,-7.508332729,1,0.001114981,1,-0.000880218,1,0.001812713,1,0.336456835,1,-0.619728923,1,0.011633549,1
0.011998976,-5.783298016,1,-2.542363644,1,-7.552320957,1,-0.003791222,1,0.000471789,1,0.000474519,1,0.336453497,1,-0.619732499,1,0.011640578,1
0.015998464,-5.782930374,1,-2.557685852,1,-7.504094601,1,-0.000180386,1,0.000860486,1,0.003883667,1,0.336433858,1,-0.619727373,1,0.011649556,1
0.02,-5.791046143,1,-2.514387846,1,-7.524300098,1,-0.002446682,1,-0.000520759,1,-8.21E-05,1,0.336426258,1,-0.619726479,1,0.011651224,1
0.023997696,-5.777336121,1,-2.542580843,1,-7.510976791,1,-0.001144118,1,0.001346493,1,0.00481536,1,0.336410582,1,-0.619724274,1,0.011656821,1
0.027997185,-5.74192667,1,-2.491633177,1,-7.522688866,1,-0.002773767,1,0.001032536,1,-0.004286472,1,0.336396635,1,-0.619725406,1,0.011668539,1
0.03199872,-5.800244808,1,-2.51529026,1,-7.528862953,1,0.001544729,1,0.001704347,1,0.00269885,1,0.33638972,1,-0.619728446,1,0.011671131,1
0.035996415,-5.772091866,1,-2.494796515,1,-7.519100189,1,-0.00194015,1,-0.001458888,1,-0.00146273,1,0.336389005,1,-0.619727254,1,0.011666846,1
0.039995905,-5.719937325,1,-2.50295496,1,-7.527676582,1,0.000520761,1,0.000285358,1,-0.001837379,1,0.336191863,1,-0.61980474,1,0.011931229,1
0.043997698,-5.763481617,1,-2.529676437,1,-7.502466679,1,0.0001645,1,-0.000152646,1,-0.000511012,1,0.336195081,1,-0.619808316,1,0.011927919,1
0.047995392,-5.725306511,1,-2.546265125,1,-7.535634518,1,0.000865103,1,-0.003456279,1,0.000176879,1,0.33620882,1,-0.619809151,1,0.011920501,1
0.051994879,-5.767942429,1,-2.529287577,1,-7.541365623,1,0.004907186,1,-0.001357433,1,-0.002055028,1,0.33621937,1,-0.619809091,1,0.01191998,1
0.055996671,-5.780929565,1,-2.520938158,1,-7.560221195,1,0.003470156,1,-0.002937389,1,-0.003247793,1,0.336238503,1,-0.619814992,1,0.011907271,1
0.05999437,-5.755165577,1,-2.539227247,1,-7.50843811,1,0.004212033,1,-0.000952671,1,-0.00147803,1,0.336254299,1,-0.61981529,1,0.01188794,1
0.063999742,-5.770550728,1,-2.524541378,1,-7.532320976,1,0.002922348,1,-0.00206652,1,0.001813946,1,0.336273968,1,-0.619817555,1,0.011880664,1
0.068001539,-5.761066914,1,-2.545979261,1,-7.570748329,1,0.003496423,1,-0.000951148,1,-0.004230739,1,0.336298466,1,-0.619824111,1,0.01186793,1
0.071999229,-5.749730587,1,-2.529700279,1,-7.547154427,1,0.002528213,1,-0.002744056,1,-0.001674571,1,0.336316943,1,-0.619817495,1,0.011861302,1
0.075998977,-5.739809513,1,-2.564274311,1,-7.554651737,1,0.000966721,1,-0.003327016,1,-0.002571934,1,0.336339235,1,-0.619830132,1,0.01184941,1
0.080000512,-5.802398205,1,-2.555833578,1,-7.55829525,1,0.003848848,1,-0.000429195,1,-0.000987339,1,0.336360455,1,-0.6198349,1,0.011838537,1
0.083998211,-5.726196766,1,-2.540837526,1,-7.511464596,1,0.002170809,1,-0.003340695,1,0.000204813,1,0.336380184,1,-0.619847834,1,0.011832079,1
0.087997697,-5.770387173,1,-2.564145088,1,-7.5206604,1,0.00190783,1,-0.002486739,1,-0.00214073,1,0.336396664,1,-0.619861364,1,0.011814141,1
0.091999233,-5.743864059,1,-2.555876493,1,-7.510182858,1,0.002299051,1,-0.004805656,1,0.000194514,1,0.336408615,1,-0.619875968,1,0.011805819,1
