Time,inertial-6253.76535:scaledAccelX,inertial-6253.76535:scaledAccelY,inertial-6253.76535:scaledAccelZ,inertial-6253.76535:scaledGyroX,inertial-6253.76535:scaledGyroY,inertial-6253.76535:scaledGyroZ,inertial-6253.76535:scaledMagX,inertial-6253.76535:scaledMagY,inertial-6253.76535:scaledMagZ,inertial-6253.76535:roll,inertial-6253.76535:pitch,inertial-6253.76535:yaw
0.155003399,0.416103989,0.202698231,-0.88747716,0.001945362,-0.00396288,0.004310194,-0.274493515,-0.230964795,0.476660728,-0.210043788,0.427251786,1.862442732
0.160000518,0.417523921,0.202602983,-0.887306333,0.000652369,-0.001908529,0.005288049,-0.274612218,-0.231099486,0.476050168,-0.210050195,0.427252412,1.862464666
0.164998651,0.416057527,0.201320425,-0.887936354,0.000130825,-0.003309998,0.003682353,-0.274651587,-0.231144145,0.475847721,-0.210060835,0.42724517,1.862484932
0.169997826,0.415837735,0.201373339,-0.887632728,-5.79E-05,-0.002267899,0.003312268,-0.274710715,-0.231175914,0.475915879,-0.210084394,0.42724058,1.862498164
0.174998015,0.41637525,0.201279402,-0.888848245,-0.00020399,-0.002024674,0.004179689,-0.274759412,-0.231183842,0.476164311,-0.210098267,0.427233875,1.862519622
0.179999232,0.417509794,0.201175317,-0.887815118,-0.002761825,-0.001586144,0.002594192,-0.274796873,-0.231189936,0.476355463,-0.210127771,0.427238584,1.862513661
0.185001478,0.417229146,0.202292606,-0.887298822,-0.00117472,-0.001924294,0.003355667,-0.274809301,-0.231191963,0.476418853,-0.210151449,0.427233636,1.862519145
0.18999885,0.417793453,0.202172354,-0.887644768,-0.002780534,-0.00136183,0.003361743,-0.274818867,-0.231193528,0.476467609,-0.210173771,0.427237868,1.862521648
0.194997251,0.417989254,0.203181267,-0.887985051,-0.001134661,-0.00269488,0.004751982,-0.274523556,-0.231345594,0.477217346,-0.210199177,0.427230805,1.862518668
0.199996412,0.415382713,0.206072927,-0.887351632,-0.001344891,-0.002434349,0.003577834,-0.274296373,-0.231462598,0.47779423,-0.210225731,0.427226961,1.86253655
0.204997376,0.415885746,0.210871339,-0.884950161,0.001586657,-0.002497192,0.004903415,-0.274221033,-0.2315014,0.477985501,-0.210241541,0.427218765,1.862549543
0.209998593,0.41792807,0.205806896,-0.884505153,0.002160392,-0.003518226,0.003832302,-0.274163067,-0.231531247,0.478132665,-0.210251004,0.427218705,1.862536192
0.215006724,0.418726861,0.199849233,-0.888635695,0.000829918,-0.004422541,0.004209322,-0.274171114,-0.23148872,0.477539092,-0.210248768,0.427210778,1.862528563
0.220009983,0.418136865,0.202492148,-0.887803018,-8.79E-05,-0.004725295,0.003635747,-0.27420485,-0.231403008,0.47643286,-0.210268855,0.427199155,1.862524748
0.22500813,0.417887986,0.205143556,-0.886801958,-0.000846994,-0.004643578,0.002518858,-0.274216056,-0.231374592,0.476066023,-0.210297331,0.427186489,1.862529039
0.230007291,0.413967818,0.207418948,-0.886769116,-0.000672262,-0.004796098,0.002931197,-0.274224669,-0.231352732,0.475783795,-0.210319698,0.427162915,1.862568378
0.235007495,0.414204448,0.206058919,-0.886181533,0.002798093,-0.005166909,0.001584651,-0.27422753,-0.231345475,0.475690216,-0.210329771,0.427141458,1.862603068
0.240008965,0.416948915,0.197499618,-0.888862193,0.001376171,-0.001982257,0.0025816,-0.274366528,-0.231128678,0.476271957,-0.210319638,0.427139759,1.862585306
0.245011196,0.419782281,0.197555214,-0.889008343,-0.002461213,-0.003722209,0.003830833,-0.274412632,-0.23105678,0.476464868,-0.210331887,0.42712906,1.862565398
0.250008583,0.416451484,0.201434121,-0.888609052,-0.001238778,-0.002666799,0.003387367,-0.274448127,-0.231001481,0.476613253,-0.210358277,0.427118152,1.862571239
0.255006731,0.414998621,0.212291569,-0.887443006,-0.001309132,-0.001308859,0.001167374,-0.274459869,-0.230983138,0.476662487,-0.210404798,0.427113473,1.862614989
0.260005891,0.41617471,0.200609073,-0.886110544,-0.001046071,-0.001403826,0.001588352,-0.274617553,-0.230967939,0.476506531,-0.21042341,0.427115172,1.862596273
0.265006065,0.418341517,0.195890367,-0.890955448,-0.004323653,-0.000401511,0.002655062,-0.274706632,-0.230962634,0.476406842,-0.210444406,0.427124918,1.862584114
0.270008057,0.416944712,0.202022359,-0.889331877,-0.005562472,-0.000685547,0.003778295,-0.274775177,-0.230958551,0.476330131,-0.210488483,0.427125216,1.862600803
0.275010318,0.414923698,0.212425202,-0.887170911,-0.003774177,0.001005866,0.001622209,-0.274797887,-0.230957195,0.47630468,-0.210553661,0.427128196,1.862649202
0.28000769,0.415601134,0.200363487,-0.884803414,-0.005026928,0.001777576,0.001888929,-0.274475217,-0.231049582,0.476251662,-0.210587174,0.427141905,1.862617254
